Organization Name,Focus Area,Grant Amount,Date
Center for Applied Rationality,Other areas,"$560,000",1/2018
Rescuing Biomedical Research,Scientific Research,"$409,112",1/2018
Helen Keller International,Global Health & Development,"$7,200,000",1/2018
Sightsavers,Global Health & Development,"$2,500,000",1/2018
Beth Israel Deaconess Medical Center,Scientific Research,"$2,939,400",1/2018
Living Goods,Global Health & Development,"$100,000",1/2018
WaitList Zero,U.S. Policy,"$100,000",1/2018
Niskanen Center,Immigration Policy,"$400,000",1/2018
Aubin Pictures,Criminal Justice Reform,"$25,000",12/2017
Smart Justice CA,Criminal Justice Reform,"$25,000",12/2017
One Voice,Criminal Justice Reform,"$20,000",12/2017
Food Fortification Initiative,Global Health & Development,"$100,000",12/2017
Blackbird,Criminal Justice Reform,"$425,000",12/2017
Evidence Action,Global Health & Development,"$15,200,000",12/2017
Evidence Action,Global Health & Development,"$11,500,000",12/2017
Against Malaria Foundation,Global Health & Development,"$2,500,000",12/2017
The Center for Election Science,Other areas,"$598,600",12/2017
Carnegie Endowment for International Peace,Biosecurity and Pandemic Preparedness,"$613,380",12/2017
Iodine Global Network,Global Health & Development,"$100,000",12/2017
Development Media International,Global Health & Development,"$100,000",12/2017
Global Alliance for Improved Nutrition,Global Health & Development,"$100,000",12/2017
Project Healthy Children,Global Health & Development,"$100,000",12/2017
The END Fund,Global Health & Development,"$2,500,000",12/2017
Evidence Action,Global Health & Development,"$800,000",12/2017
GiveDirectly,Global Health & Development,"$2,500,000",12/2017
Malaria Consortium,Global Health & Development,"$27,900,000",12/2017
Evidence Action,Global Health & Development,"$100,000",12/2017
protocols.io,Scientific Research,"$200,000",12/2017
Arizona State University,Scientific Research,"$6,421,402",11/2017
The Good Food Institute,Farm Animal Welfare,"$1,500,000",11/2017
Association L214,Farm Animal Welfare,"$1,347,742",11/2017
fair-fish international association,Farm Animal Welfare,"$453,841",11/2017
Youth First Initiative,Criminal Justice Reform,"$250,000",11/2017
theguardian.org,Farm Animal Welfare,"$886,600",11/2017
InterAcademy Partnership,Biosecurity and Pandemic Preparedness,"$14,605",11/2017
Aquaculture Stewardship Council,Farm Animal Welfare,"$533,036",11/2017
Animal Equality,Farm Animal Welfare,"$2,110,460",11/2017
Otwarte Klatki,Farm Animal Welfare,"$472,864",11/2017
David Manheim,Biosecurity and Pandemic Preparedness,"$65,308",11/2017
Nuclear Threat Initiative,Biosecurity and Pandemic Preparedness,"$6,000,000",10/2017
Court Watch NOLA,Criminal Justice Reform,"$100,000",10/2017
Sightline Institute,Land Use Reform,"$350,000",10/2017
Anima,Farm Animal Welfare,"$683,000",10/2017
